dataset	type	accession
Bacteria	assembly	GCA_003812905.1
Bacteria	assembly	GCA_008693985.1
Bacteria	assembly	GCA_013267615.1
Bacteria	assembly	GCA_016027715.1
Bacteria	assembly	GCA_016127695.1
Bacteria	assembly	GCA_016726285.1
Bacteria	assembly	GCA_016889285.1
Bacteria	assembly	GCA_016903775.1
Bacteria	assembly	GCA_019047185.1
Bacteria	assembly	GCA_019930765.1
Bacteria	assembly	GCA_020735705.1
Bacteria	assembly	GCA_001018735.2
Bacteria	assembly	GCA_002073435.2
Bacteria	assembly	GCA_002393265.1
Bacteria	assembly	GCA_003019945.1
Bacteria	assembly	GCA_003812925.1
Bacteria	assembly	GCA_008694005.1
Bacteria	assembly	GCA_013267635.1
Bacteria	assembly	GCA_016027775.1
Bacteria	assembly	GCA_016127715.1
Bacteria	assembly	GCA_016726305.1
Bacteria	assembly	GCA_016889305.1
Bacteria	assembly	GCA_016903795.1
Bacteria	assembly	GCA_019047205.1
Bacteria	assembly	GCA_019930785.1
Bacteria	assembly	GCA_020735725.1
Bacteria	assembly	GCA_001018775.2
Bacteria	assembly	GCA_002073455.2
Bacteria	assembly	GCA_002393365.1
Bacteria	assembly	GCA_003019965.1
Bacteria	assembly	GCA_003812945.1
Bacteria	assembly	GCA_009729895.1
Bacteria	assembly	GCA_013267655.1
Bacteria	assembly	GCA_016027815.1
Bacteria	assembly	GCA_016127735.1
Bacteria	assembly	GCA_016726325.1
Bacteria	assembly	GCA_016889325.1
Bacteria	assembly	GCA_016903815.1
Bacteria	assembly	GCA_019047325.1
Bacteria	assembly	GCA_019930805.1
Bacteria	assembly	GCA_020735745.1
Bacteria	assembly	GCA_001018805.2
Bacteria	assembly	GCA_002073475.2
Bacteria	assembly	GCA_002393385.1
Bacteria	assembly	GCA_003020025.1
Bacteria	assembly	GCA_003812965.1
Bacteria	assembly	GCA_009729915.1
Bacteria	assembly	GCA_013267675.1
Bacteria	assembly	GCA_016027835.1
Bacteria	assembly	GCA_016127755.1
Bacteria	assembly	GCA_016726345.1
Bacteria	assembly	GCA_016889345.1
Bacteria	assembly	GCA_016903835.1
Bacteria	assembly	GCA_019047465.1
Bacteria	assembly	GCA_019930825.1
Bacteria	assembly	GCA_020735765.1
Bacteria	assembly	GCA_001018835.2
Bacteria	assembly	GCA_002073495.2
Bacteria	assembly	GCA_002393405.1
Bacteria	assembly	GCA_003020185.1
Bacteria	assembly	GCA_003812985.1
Bacteria	assembly	GCA_009729935.1
Bacteria	assembly	GCA_013267695.1
Bacteria	assembly	GCA_016027855.1
Bacteria	assembly	GCA_016127775.1
Bacteria	assembly	GCA_016726365.1
Bacteria	assembly	GCA_016889365.1
Bacteria	assembly	GCA_016903855.1
Bacteria	assembly	GCA_019047505.1
Bacteria	assembly	GCA_019930845.1
Bacteria	assembly	GCA_020735785.1
Bacteria	assembly	GCA_001018845.2
Bacteria	assembly	GCA_002073515.2
Bacteria	assembly	GCA_002393425.1
Bacteria	assembly	GCA_003030425.1
Bacteria	assembly	GCA_003813005.1
Bacteria	assembly	GCA_009729955.1
Bacteria	assembly	GCA_013267715.1
Bacteria	assembly	GCA_016027975.1
Bacteria	assembly	GCA_016127795.1
Bacteria	assembly	GCA_016726485.1
Bacteria	assembly	GCA_016889385.1
Bacteria	assembly	GCA_016903875.1
Bacteria	assembly	GCA_019047545.1
Bacteria	assembly	GCA_019930865.1
Bacteria	assembly	GCA_020735805.1
Bacteria	assembly	GCA_001018915.2
Bacteria	assembly	GCA_002073535.2
Bacteria	assembly	GCA_002393445.1
Bacteria	assembly	GCA_003050665.1
Bacteria	assembly	GCA_003813025.1
Bacteria	assembly	GCA_009729975.1
Bacteria	assembly	GCA_013267735.1
Bacteria	assembly	GCA_016028175.1
Bacteria	assembly	GCA_016127815.1
Bacteria	assembly	GCA_016726625.1
Bacteria	assembly	GCA_016889405.1
Bacteria	assembly	GCA_016903895.1
Bacteria	assembly	GCA_019047645.1
Bacteria	assembly	GCA_019930885.1
Bacteria	assembly	GCA_020735825.1
Bacteria	assembly	GCA_001018975.2
Bacteria	assembly	GCA_002073555.2
Bacteria	assembly	GCA_002393465.1
Bacteria	assembly	GCA_003546885.1
Bacteria	assembly	GCA_003813045.1
Bacteria	assembly	GCA_009729995.1
Bacteria	assembly	GCA_013267775.1
Bacteria	assembly	GCA_016028235.1
Bacteria	assembly	GCA_016127835.1
Bacteria	assembly	GCA_016726765.1
Bacteria	assembly	GCA_016889425.1
Bacteria	assembly	GCA_016903915.1
Bacteria	assembly	GCA_019047725.1
Bacteria	assembly	GCA_019930905.1
Bacteria	assembly	GCA_020735845.1
Bacteria	assembly	GCA_001019125.2
Bacteria	assembly	GCA_002073575.2
Bacteria	assembly	GCA_002393485.1
Bacteria	assembly	GCA_003546905.1
Bacteria	assembly	GCA_003813065.1
Bacteria	assembly	GCA_009730015.1
Bacteria	assembly	GCA_013267795.1
Bacteria	assembly	GCA_016028255.1
Bacteria	assembly	GCA_016127855.1
Bacteria	assembly	GCA_016726885.1
Bacteria	assembly	GCA_016889445.1
Bacteria	assembly	GCA_016903935.1
Bacteria	assembly	GCA_019047745.1
Bacteria	assembly	GCA_019930925.1
Bacteria	assembly	GCA_020735865.1
Bacteria	assembly	GCA_001019205.2
Bacteria	assembly	GCA_002073595.2
Bacteria	assembly	GCA_002393505.1
Bacteria	assembly	GCA_003613595.1
Bacteria	assembly	GCA_003813085.1
Bacteria	assembly	GCA_009730035.1
Bacteria	assembly	GCA_013267815.1
Bacteria	assembly	GCA_016028275.1
Bacteria	assembly	GCA_016127875.1
Bacteria	assembly	GCA_016726945.1
Bacteria	assembly	GCA_016889465.1
Bacteria	assembly	GCA_016903955.1
Bacteria	assembly	GCA_019047765.1
Bacteria	assembly	GCA_019930945.1
Bacteria	assembly	GCA_020735885.1
Bacteria	assembly	GCA_001019255.2
Bacteria	assembly	GCA_002073615.2
Bacteria	assembly	GCA_002407165.1
Bacteria	assembly	GCA_003614815.1
Bacteria	assembly	GCA_003827915.1
Bacteria	assembly	GCA_009730055.1
Bacteria	assembly	GCA_013267835.1
Bacteria	assembly	GCA_016028295.1
Bacteria	assembly	GCA_016127895.1
Bacteria	assembly	GCA_016726965.1
Bacteria	assembly	GCA_016889605.1
Bacteria	assembly	GCA_016903975.1
Bacteria	assembly	GCA_019047785.1
Bacteria	assembly	GCA_019930965.1
Bacteria	assembly	GCA_020735905.1
Bacteria	assembly	GCA_001019275.2
Bacteria	assembly	GCA_002073635.2
Bacteria	assembly	GCA_002407525.3
Bacteria	assembly	GCA_003614835.1
Bacteria	assembly	GCA_003854935.1
Bacteria	assembly	GCA_009730075.1
Bacteria	assembly	GCA_013331815.1
Bacteria	assembly	GCA_016028435.1
Bacteria	assembly	GCA_016127915.1
Bacteria	assembly	GCA_016726985.1
Bacteria	assembly	GCA_016889625.1
Bacteria	assembly	GCA_016903995.1
Bacteria	assembly	GCA_019047805.1
Bacteria	assembly	GCA_019930985.1
Bacteria	assembly	GCA_020735925.1
Bacteria	assembly	GCA_001019305.2
Bacteria	assembly	GCA_002073655.2
Bacteria	assembly	GCA_002587105.1
Bacteria	assembly	GCA_003711125.1
Bacteria	assembly	GCA_003855115.1
Bacteria	assembly	GCA_009730095.1
Bacteria	assembly	GCA_013343075.1
Bacteria	assembly	GCA_016028475.1
Bacteria	assembly	GCA_016127935.1
Bacteria	assembly	GCA_016727005.1
Bacteria	assembly	GCA_016889645.1
Bacteria	assembly	GCA_016904015.1
Bacteria	assembly	GCA_019047825.1
Bacteria	assembly	GCA_019931005.1
Bacteria	assembly	GCA_020735945.1
Bacteria	assembly	GCA_001019395.2
Bacteria	assembly	GCA_002073675.2
Bacteria	assembly	GCA_002587165.1
Bacteria	assembly	GCA_003798205.1
Bacteria	assembly	GCA_003855135.1
Bacteria	assembly	GCA_009730115.1
Bacteria	assembly	GCA_013343095.1
Bacteria	assembly	GCA_016028495.1
Bacteria	assembly	GCA_016127955.1
Bacteria	assembly	GCA_016727125.1
Bacteria	assembly	GCA_016889665.1
Bacteria	assembly	GCA_016904035.1
Bacteria	assembly	GCA_019047885.1
Bacteria	assembly	GCA_019931025.1
Bacteria	assembly	GCA_020735965.1
Bacteria	assembly	GCA_001019415.2
Bacteria	assembly	GCA_002073695.2
Bacteria	assembly	GCA_002587225.1
Bacteria	assembly	GCA_003798225.1
Bacteria	assembly	GCA_003955775.1
Bacteria	assembly	GCA_009730135.1
Bacteria	assembly	GCA_013343115.1
Bacteria	assembly	GCA_016028515.1
Bacteria	assembly	GCA_016127975.1
Bacteria	assembly	GCA_016727265.1
Bacteria	assembly	GCA_016889685.1
Bacteria	assembly	GCA_016904055.1
Bacteria	assembly	GCA_019047905.1
Bacteria	assembly	GCA_019931045.1
Bacteria	assembly	GCA_020735985.1
Bacteria	assembly	GCA_001019435.2
Bacteria	assembly	GCA_002073715.2
Bacteria	assembly	GCA_002587885.1
Bacteria	assembly	GCA_003798245.1
Bacteria	assembly	GCA_003955795.1
Bacteria	assembly	GCA_009730155.1
Bacteria	assembly	GCA_013343135.1
Bacteria	assembly	GCA_016028635.1
Bacteria	assembly	GCA_016127995.1
Bacteria	assembly	GCA_016727305.1
Bacteria	assembly	GCA_016889705.1
Bacteria	assembly	GCA_016904075.1
Bacteria	assembly	GCA_019047925.1
Bacteria	assembly	GCA_020097175.1
Bacteria	assembly	GCA_020736005.1
Bacteria	assembly	GCA_001019485.2
Bacteria	assembly	GCA_002073735.2
Bacteria	assembly	GCA_002588845.1
Bacteria	assembly	GCA_003798265.1
Bacteria	assembly	GCA_003955815.1
Bacteria	assembly	GCA_009730175.1
Bacteria	assembly	GCA_013343155.1
Bacteria	assembly	GCA_016028655.1
Bacteria	assembly	GCA_016128015.1
Bacteria	assembly	GCA_016727325.1
Bacteria	assembly	GCA_016889725.1
Bacteria	assembly	GCA_016904095.1
Bacteria	assembly	GCA_019047945.1
Bacteria	assembly	GCA_020097195.1
Bacteria	assembly	GCA_020736025.1
Bacteria	assembly	GCA_001019495.2
Bacteria	assembly	GCA_002073755.2
Bacteria	assembly	GCA_002589795.1
Bacteria	assembly	GCA_003798285.1
Bacteria	assembly	GCA_003955985.1
Bacteria	assembly	GCA_009730195.1
Bacteria	assembly	GCA_013347325.1
Bacteria	assembly	GCA_016028675.1
Bacteria	assembly	GCA_016128035.1
Bacteria	assembly	GCA_016727345.1
Bacteria	assembly	GCA_016889745.1
Bacteria	assembly	GCA_016904115.1
Bacteria	assembly	GCA_019047965.1
Bacteria	assembly	GCA_020097215.1
Bacteria	assembly	GCA_020736045.1
Bacteria	assembly	GCA_001019535.2
Bacteria	assembly	GCA_002073775.2
Bacteria	assembly	GCA_002591075.1
Bacteria	assembly	GCA_003798305.1
Bacteria	assembly	GCA_003956005.1
Bacteria	assembly	GCA_009730215.1
Bacteria	assembly	GCA_013364115.1
Bacteria	assembly	GCA_016028695.1
Bacteria	assembly	GCA_016128055.1
Bacteria	assembly	GCA_016727365.1
Bacteria	assembly	GCA_016889765.1
Bacteria	assembly	GCA_016904135.1
Bacteria	assembly	GCA_019047985.1
Bacteria	assembly	GCA_020097235.1
Bacteria	assembly	GCA_020736065.1
Bacteria	assembly	GCA_001019575.2
Bacteria	assembly	GCA_002073795.2
Bacteria	assembly	GCA_002591095.1
Bacteria	assembly	GCA_003798325.1
Bacteria	assembly	GCA_003956025.1
Bacteria	assembly	GCA_009730235.1
Bacteria	assembly	GCA_013364135.1
Bacteria	assembly	GCA_016028715.1
Bacteria	assembly	GCA_016128075.1
Bacteria	assembly	GCA_016727385.1
Bacteria	assembly	GCA_016889785.1
Bacteria	assembly	GCA_016904155.1
Bacteria	assembly	GCA_019048005.1
Bacteria	assembly	GCA_020097255.1
Bacteria	assembly	GCA_020736085.1
Bacteria	assembly	GCA_001188025.2
Bacteria	assembly	GCA_002073815.2
Bacteria	assembly	GCA_002591115.1
Bacteria	assembly	GCA_003798345.1
Bacteria	assembly	GCA_006364035.1
Bacteria	assembly	GCA_009730255.1
Bacteria	assembly	GCA_016025875.1
Bacteria	assembly	GCA_016028735.1
Bacteria	assembly	GCA_016128095.1
Bacteria	assembly	GCA_016727405.1
Bacteria	assembly	GCA_016889805.1
Bacteria	assembly	GCA_016904175.1
Bacteria	assembly	GCA_019048025.1
Bacteria	assembly	GCA_020097275.1
Bacteria	assembly	GCA_020736105.1
Bacteria	assembly	GCA_001188045.2
Bacteria	assembly	GCA_002073835.2
Bacteria	assembly	GCA_002591135.1
Bacteria	assembly	GCA_003798365.1
Bacteria	assembly	GCA_006364235.1
Bacteria	assembly	GCA_009730275.1
Bacteria	assembly	GCA_016026035.1
Bacteria	assembly	GCA_016028755.1
Bacteria	assembly	GCA_016128115.1
Bacteria	assembly	GCA_016727425.1
Bacteria	assembly	GCA_016889825.1
Bacteria	assembly	GCA_016904195.1
Bacteria	assembly	GCA_019048045.1
Bacteria	assembly	GCA_020097295.1
Bacteria	assembly	GCA_020736125.1
Bacteria	assembly	GCA_001188125.2
Bacteria	assembly	GCA_002208665.2
Bacteria	assembly	GCA_002591155.1
Bacteria	assembly	GCA_003798385.1
Bacteria	assembly	GCA_006364295.1
Bacteria	assembly	GCA_009730295.1
Bacteria	assembly	GCA_016026055.1
Bacteria	assembly	GCA_016028775.1
Bacteria	assembly	GCA_016128135.1
Bacteria	assembly	GCA_016727445.1
Bacteria	assembly	GCA_016889845.1
Bacteria	assembly	GCA_016904215.1
Bacteria	assembly	GCA_019048065.1
Bacteria	assembly	GCA_020097315.1
Bacteria	assembly	GCA_020736145.1
Bacteria	assembly	GCA_001188185.2
Bacteria	assembly	GCA_002208685.2
Bacteria	assembly	GCA_002591175.1
Bacteria	assembly	GCA_003798405.1
Bacteria	assembly	GCA_006364355.1
Bacteria	assembly	GCA_009730315.1
Bacteria	assembly	GCA_016026175.1
Bacteria	assembly	GCA_016028795.1
Bacteria	assembly	GCA_016128155.1
Bacteria	assembly	GCA_016727585.1
Bacteria	assembly	GCA_016889865.1
Bacteria	assembly	GCA_016904235.1
Bacteria	assembly	GCA_019048085.1
Bacteria	assembly	GCA_020097335.1
Bacteria	assembly	GCA_020736165.1
Bacteria	assembly	GCA_001558255.2
Bacteria	assembly	GCA_002208705.2
Bacteria	assembly	GCA_002591195.1
Bacteria	assembly	GCA_003798425.1
Bacteria	assembly	GCA_006364495.1
Bacteria	assembly	GCA_009730335.1
Bacteria	assembly	GCA_016026195.1
Bacteria	assembly	GCA_016028815.1
Bacteria	assembly	GCA_016128175.1
Bacteria	assembly	GCA_016727765.1
Bacteria	assembly	GCA_016889885.1
Bacteria	assembly	GCA_016904255.1
Bacteria	assembly	GCA_019048105.1
Bacteria	assembly	GCA_020097355.1
Bacteria	assembly	GCA_020736185.1
Bacteria	assembly	GCA_001558275.2
Bacteria	assembly	GCA_002208725.2
Bacteria	assembly	GCA_002591215.1
Bacteria	assembly	GCA_003798445.1
Bacteria	assembly	GCA_006364635.1
Bacteria	assembly	GCA_009730355.1
Bacteria	assembly	GCA_016026215.1
Bacteria	assembly	GCA_016028835.1
Bacteria	assembly	GCA_016128195.1
Bacteria	assembly	GCA_016727905.1
Bacteria	assembly	GCA_016889905.1
Bacteria	assembly	GCA_016904275.1
Bacteria	assembly	GCA_019048125.1
Bacteria	assembly	GCA_020097375.1
Bacteria	assembly	GCA_020736205.1
Bacteria	assembly	GCA_001558295.2
Bacteria	assembly	GCA_002208745.2
Bacteria	assembly	GCA_002591235.1
Bacteria	assembly	GCA_003798465.1
Bacteria	assembly	GCA_006364655.1
Bacteria	assembly	GCA_009730375.1
Bacteria	assembly	GCA_016026235.1
